game_id,timestamp,secret_word,winner_side,mister_white_player,mister_white_provider,mister_white_model,eliminated_player,eliminated_provider,eliminated_model,total_votes_cast,vote_counts_json
187,2025-09-17T01:44:00.500202,mint,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 4, 'Sarah': 1}"
188,2025-09-17T01:44:12.984970,cell,citizens,Emily,mistral,mistral-large-latest,Emily,mistral,mistral-large-latest,5,"{'Emily': 4, 'Sarah': 1}"
189,2025-09-17T01:44:24.405173,mold,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
190,2025-09-17T01:46:15.554463,model,mister_white,Emily,mistral,open-mixtral-8x22b,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 2, 'Sarah': 2, 'John': 1}"
191,2025-09-17T01:46:26.195521,Generosity,mister_white,Emily,mistral,mistral-small-latest,Sarah,mistral,open-mixtral-8x22b,5,"{'Sarah': 3, 'Emily': 2}"
192,2025-09-17T01:47:02.652441,matrix,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,{'John': 5}
193,2025-09-17T01:48:01.029928,bond,mister_white,Emily,mistral,mistral-large-latest,John,mistral,mistral-medium-latest,5,"{'John': 2, 'Emily': 1, 'Sarah': 1, 'Martin': 1}"
194,2025-09-17T01:48:13.100373,cache,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,"{'Emily': 3, 'Lucas': 2}"
195,2025-09-17T01:48:22.621021,field,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Emily': 4, 'John': 1}"
196,2025-09-17T01:48:32.860545,field,citizens,Emily,mistral,mistral-small-latest,Emily,mistral,mistral-small-latest,5,"{'Emily': 4, 'Lucas': 1}"
197,2025-09-17T01:48:40.646891,note,mister_white,Emily,mistral,mistral-medium-latest,John,mistral,mistral-tiny,5,"{'John': 4, 'Sarah': 1}"
198,2025-09-17T01:48:49.654996,orbit,mister_white,Emily,mistral,mistral-large-latest,Lucas,mistral,mistral-small-latest,5,"{'Lucas': 4, 'Emily': 1}"
199,2025-09-17T01:48:59.453977,Neuroscience,citizens,Emily,mistral,mistral-tiny,Emily,mistral,mistral-tiny,5,{'Emily': 5}
200,2025-09-17T01:49:07.840387,cell,citizens,Emily,mistral,open-mixtral-8x22b,Emily,mistral,open-mixtral-8x22b,5,"{'Emily': 4, 'Sarah': 1}"
